[1, x, 10, 1]===[1, 0, 0]===[0.038965]===[5114]
[1, x, 10, 2]===[0, 1, 0]===[0.033834]===[5082]
[1, x, 10, 3]===[0, 1, 0]===[0.032336]===[5113]
[1, x, 10, 4]===[1, 0, 0]===[0.032574]===[5183]
[1, x, 10, 5]===[0, 0, 1]===[0.032151]===[5111]
[1, x, 10, 6]===[0, 1, 0]===[0.032988]===[5260]
[1, x, 10, 7]===[1, 0, 0]===[0.032526]===[5161]
[1, x, 10, 8]===[0, 0, 1]===[0.038097]===[5144]
[1, x, 10, 9]===[1, 0, 0]===[0.032253]===[5105]
[1, x, 10, 10]===[1, 0, 0]===[0.032372]===[5176]
[1, x, 10, 11]===[0, 1, 0]===[0.032319]===[5114]
[1, x, 10, 12]===[0, 0, 1]===[0.037099]===[5105]
[1, x, 10, 13]===[0, 0, 1]===[0.03935]===[5091]
[1, x, 10, 14]===[0, 0, 1]===[0.032263]===[5118]
[1, x, 10, 15]===[0, 1, 0]===[0.032833]===[5105]
[1, x, 10, 16]===[1, 0, 0]===[0.037624]===[5105]
[1, x, 10, 17]===[1, 0, 0]===[0.03237]===[5113]
[1, x, 10, 18]===[0, 0, 1]===[0.032689]===[5105]
[1, x, 10, 19]===[0, 0, 1]===[0.032453]===[5124]
[1, x, 10, 20]===[0, 0, 1]===[0.039596]===[5071]
[1, x, 10, 21]===[0, 1, 0]===[0.03432]===[5118]
[1, x, 10, 22]===[0, 1, 0]===[0.033092]===[5175]
[1, x, 10, 23]===[0, 0, 1]===[0.035437]===[5109]
[1, x, 10, 24]===[0, 0, 1]===[0.039326]===[5111]
[1, x, 10, 25]===[1, 0, 0]===[0.037798]===[5120]
[1, x, 10, 26]===[0, 1, 0]===[0.033801]===[5132]
[1, x, 10, 27]===[1, 0, 0]===[0.032897]===[5171]
[1, x, 10, 28]===[0, 0, 1]===[0.035794]===[5120]
[1, x, 10, 29]===[1, 0, 0]===[0.033636]===[5101]
[1, x, 10, 30]===[1, 0, 0]===[0.033083]===[5196]
[1, x, 10, 31]===[0, 0, 1]===[0.032562]===[5071]
[1, x, 10, 32]===[0, 1, 0]===[0.035017]===[5163]
[1, x, 10, 33]===[0, 0, 1]===[0.033344]===[5080]
[1, x, 10, 34]===[0, 0, 1]===[0.033657]===[5110]
